t,x,v,a,phi,phi_v,phi_a
2.5500000000000003,0.18579927034796473,0.20441456963842525,0.13576783290566857,2.322490879349558,2.555182120480316,1.697097911320844
2.56,0.187857001361003,0.20577310130382515,0.13593663793271538,2.3482125170125356,2.5721637662978143,1.699207974158945
2.57,0.18992833438497378,0.20713330239707956,0.1361017161881764,2.374104179812171,2.5891662799634947,1.7012714523522154
2.58,0.19201328574124968,0.20849513562758867,0.13626306314633435,2.4001660717656192,2.6061891953448586,1.7032882893291745
2.59,0.19411187137784974,0.20985856366000624,0.1364206743837748,2.42639839222312,2.623232045750078,1.7052584297971851
2.6,0.19622410686900238,0.21122354911526417,0.13657454557952087,2.452801335862528,2.6402943639408023,1.707181819744008
2.61,0.19835000741471834,0.21259005457159666,0.13672467251510667,2.479375092683978,2.6573756821449583,1.7090584064388459
2.62,0.200489587840374,0.2139580425655663,0.13687105107473146,2.5061198480046736,2.674475532069579,1.7108881384341412
2.63,0.20264286259630493,0.2153274755930913,0.13701367724535812,2.53303578245381,2.691593444913641,1.7126709655669536
2.64,0.20480984575740965,0.21669831611047347,0.1371525471167992,2.5601230719676193,2.7087289513809183,1.7144068389600031
2.65,0.20699055102276392,0.21807052653542727,0.13728765688188344,2.5873818877845474,2.7258815816928412,1.7160957110235575
2.66,0.20918499171524507,0.21944406924811113,0.13741900283650854,2.6148123964405614,2.7430508656013894,1.717737535456343
2.67,0.21139318078116665,0.22081890659215744,0.13754658137974524,2.642414759764581,2.760236332401968,1.7193322672468092
2.68,0.2136151307899237,0.22219500087570604,0.1376703890139802,2.670189134874044,2.7774375109463256,1.7208798626747734
2.69,0.21585085393364808,0.22357231437243705,0.1377904223449522,2.6981356741705986,2.7946539296554636,1.722380279311908
2.7,0.2181003620268741,0.22495080932260508,0.137906678081888,2.726254525335924,2.811885116532564,1.723833476023584
2.71,0.22036366650621486,0.2263304479340748,0.13801915303759404,2.7545458313276834,2.8291305991759352,1.7252394129699145
2.72,0.22264077843004842,0.22771119238335696,0.13812784412848833,2.783009730375603,2.846389904791962,1.7265980516061097
2.73,0.22493170847821486,0.22909300481664457,0.1382327483747628,2.811646355977684,2.8636625602080574,1.7279093546845425
2.74,0.2272364669517234,0.23047584735085222,0.13833386290041522,2.8404558368965405,2.880948091885653,1.7291732862551923
2.75,0.22955506377246992,0.23185968207465288,0.1384311849333325,2.869438297155872,2.8982460259331613,1.7303898116666439
2.7600000000000002,0.2318875084829651,0.23324447104951887,0.13852471180539616,2.898593856037062,2.915555888118986,1.7315588975674423
2.77,0.23423381024607273,0.2346301763107608,0.1386144409525017,2.927922628075907,2.93287720388451,1.7326805119062927
2.7800000000000002,0.23659397784475844,0.2360167598685689,0.1387003699146877,2.9574247230594786,2.9502094983571117,1.7337546239336143
2.79,0.23896801968184897,0.23740418370905456,0.13878249633617612,2.98710024602311,2.9675522963631824,1.7347812042021848
2.8000000000000003,0.24135594377980188,0.23879240979529243,0.1388608179654166,3.0169492972475216,2.9849051224411554,1.735760224567695
2.81,0.2437577577804855,0.2401814000683629,0.1389353326551851,3.0469719722560673,3.0022675008545363,1.736691658189815
2.82,0.24617346894496944,0.24157111644839613,0.13900603836263514,3.0771683618121166,3.0196389556049517,1.7375754795329268
2.83,0.24860308415332558,0.2429615208356156,0.13907293314931873,3.1075385519165684,3.037019010445195,1.7384116643664793
2.84,0.2510466099044394,0.2443525751113825,0.13913601518128899,3.1380826238054915,3.0544071888922812,1.7392001897661213
2.85,0.25350405231583184,0.24574424113924137,0.1391952827291154,3.168800653947897,3.0718030142405173,1.7399410341139676
